Data,Faturamento real - indústria - índice (média 2006 = 100) - - - Confederação Nacional da Indústria - CNI12_VENREA12,
1991.12,48.9298103406456,
1992.01,51.4594452614013,
1992.02,51.69044906082,
1992.03,54.1242662496314,
1992.04,55.7037379103317,
1992.05,56.7949369162466,
1992.06,57.9257967416107,
1992.07,62.7711438445873,
1992.08,59.9073167977036,
1992.09,61.7895093148212,
1992.10,61.6454902329855,
1992.11,59.8592909381637,
1992.12,54.9979742131965,
1993.01,53.5407608307401,
1993.02,53.8570529410103,
1993.03,65.6760356337328,
1993.04,61.0020256106492,
1993.05,63.3213060966848,
1993.06,62.4928161470349,
1993.07,62.7042820206481,
1993.08,64.5209581398552,
1993.09,62.7068558791374,
1993.10,63.2622828417814,
1993.11,62.6801813457024,
1993.12,58.734046804049,
1994.01,56.1916595844142,
1994.02,54.5187100631236,
1994.03,63.7003067592409,
1994.04,55.1522302322057,
1994.05,62.9560521783332,
1994.06,62.4226785032002,
1994.07,63.9108951810965,
1994.08,75.337247460626,
1994.09,76.0134702819176,
1994.10,77.1521686763176,
1994.11,78.1312293475943,
1994.12,73.8114758474989,
1995.01,71.6907334458459,
1995.02,68.5054080749295,
1995.03,83.6558996014064,
1995.04,70.167594187992,
1995.05,76.9786672154222,
1995.06,73.2169730332439,
1995.07,70.4879225763478,
1995.08,74.7484188344044,
1995.09,71.264116401237,
1995.10,74.6852423078478,
1995.11,74.5061251557029,
1995.12,67.2032696664562,
1996.01,67.5778830702236,
1996.02,68.4737613148674,
1996.03,75.1298763618822,
1996.04,74.4564613862152,
1996.05,80.6434322267631,
1996.06,74.8475123862442,
1996.07,82.0225524027814,
1996.08,81.7506593514524,
1996.09,81.5557480676682,
1996.10,85.3814377313771,
1996.11,83.8336713275228,
1996.12,73.4812615026726,
1997.01,75.881852518258,
1997.02,73.0852967728004,
1997.03,81.2812226610661,
1997.04,84.8102751338778,
1997.05,83.8436742775609,
1997.06,86.4815282484367,
1997.07,89.0149654601424,
1997.08,87.4447362912904,
1997.09,91.9915158095026,
1997.10,94.8786245763583,
1997.11,84.0659035594023,
1997.12,77.4340061809009,
1998.01,75.6989915719467,
1998.02,74.0396133045089,
1998.03,87.8744536654434,
1998.04,82.169262336674,
1998.05,85.1055668987463,
1998.06,84.7821381808465,
1998.07,84.8972598514609,
1998.08,86.9238809279015,
1998.09,87.5294981310876,
1998.10,85.1252218181195,
